what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1323924166904
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1323924169396
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1323924187635
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924188785
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1323924188822
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924191922
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1323924194306
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924195083
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1323924195114
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924198786
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924204132
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1323924204160
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924208770
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323924212842
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924214305
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924230231
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1323924401402
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323924421195
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924423018
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924438772
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1323924443431
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924444241
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1323924444269
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924449453
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323924453006
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924454362
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924462812
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924467745
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1323924467787
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924475796
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323924481809
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924483106
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924502189
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924505672
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1323924505708
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924508712
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.add.block.comment",1323924514033
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.add.block.comment",1323924517847
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323924518175
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924519791
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924548299
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924550335
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1323924550376
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924555612
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924556655
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1323924556685
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924564022
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323924566980
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924569366
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924604189
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924605533
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1323924605574
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924610717
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323924616276
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924617805
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924724114
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924727817
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1323924727855
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924731377
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.add.block.comment",1323924743854
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323924744223
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323924747862
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924749469
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924805213
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323924808846
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924810240
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924816587
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1323924818638
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323924821565
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323924822810
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323925168140
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323925178660
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1323925178693
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323925181110
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1323925182290
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323925183293
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1323925183333
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323925186427
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.add.block.comment",1323925188878
