what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324183004904
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324183013062
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324183014636
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1324183027967
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324183028380
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324183029626
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324183031234
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1324183039800
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324183041028
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183042956
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324183042983
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183045437
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1324183047347
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1324183048326
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324183048907
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324183050453
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183053231
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183066017
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324183068307
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183071700
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324183071727
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183073863
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324183078431
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183079654
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183083807
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324183089201
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1324183089731
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324183090326
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324183099890
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1324183111413
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324183112577
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1324183114249
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324183118255
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183119780
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183124602
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183134737
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183139625
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324183142515
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324183148501
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183151442
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183155298
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.add.block.comment",1324183159244
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324183166867
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324183168706
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183175511
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183189014
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324183192554
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324183194225
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324183195092
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324183197038
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324183197577
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324183211635
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324183214509
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183215238
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324183215275
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183222942
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183334113
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183370617
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324183372872
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324183374792
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324183375562
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1324183413581
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1324183414583
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324183416506
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183417452
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183454809
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324183464788
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1324183465594
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324183466384
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183468950
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324183471578
