what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1324244962742
java.vendor,sysinfo,,,"Apple Inc.",1324244962742
java.version,sysinfo,,,"1.6.0_29",1324244962742
java.vm.info,sysinfo,,,"mixed mode",1324244962742
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1324244962742
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1324244962742
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1324244962742
java.vm.specification.version,sysinfo,,,"1.0",1324244962742
java.vm.vendor,sysinfo,,,"Apple Inc.",1324244962742
java.vm.version,sysinfo,,,"20.4-b02-402",1324244962742
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324245162056
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324245162063
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324245238881
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324245772869
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324245776271
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324245776331
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324245786492
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324245788042
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324245862088
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324245868154
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324245924844
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1324245970016
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1324245970032
started,bundle,org.python.pydev.core,1.6.3.2010100513,"org.python.pydev.core",1324245970578
started,bundle,com.python.pydev.analysis,1.6.3.2010100513,"com.python.pydev.analysis",1324245970727
started,bundle,org.python.pydev,1.6.3.2010100513,"org.python.pydev",1324245971102
started,bundle,com.collabnet.subversion.merge,2.1.0,"com.collabnet.subversion.merge",1324245974363
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1324245974726
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1324245974862
error,log,,,"Server returned HTTP response code: 500 for URL: https://ping.aptana.com/ping.php",1324245975097
started,bundle,org.tigris.subversion.subclipse.ui,1.6.13,"org.tigris.subversion.subclipse.ui",1324245975383
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1324245975456
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1324245975534
opened,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1324245975794
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1324245976059
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1324245976465
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1324245976692
opened,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324245983593
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324245983636
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1324245986626
opened,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324245989882
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324245989960
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324246003289
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324246004455
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324246004489
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324246012266
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324246013681
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1324246045169
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324246046512
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1324246074297
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324246083861
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324246084321
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1324246828279
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324246828355
started,bundle,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui",1324246839558
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1324246839893
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1324246840627
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.304.v201012160349,"org.eclipse.wst.jsdt.web.ui",1324246840768
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.304.v201102160550,"org.eclipse.wst.jsdt.web.core",1324246840807
started,bundle,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.ui",1324246841318
started,bundle,org.eclipse.jst.jsp.core,1.2.304.v201102160550,"org.eclipse.jst.jsp.core",1324246841408
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1324246841648
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1324246841778
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1324246841888
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1324246842505
started,bundle,org.eclipse.dltk.core.index.sql,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql",1324246842798
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1324246843571
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1324246844117
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324246975539
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249206560
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324249208296
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1324249208680
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1324249208691
started,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1324249208899
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1324249209120
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1324249209410
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1324249209599
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324249209746
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1324249211474
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249235492
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249238546
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324249253239
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249255115
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249787917
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324249789580
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249821955
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249829428
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249836175
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324249836212
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249839786
closed,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324249842781
closed,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324249844976
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324249846962
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324249860119
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249861778
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324249861815
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249865849
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324249871650
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249872810
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249925891
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249927525
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249940928
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1324249954604
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324249955286
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.add.block.comment",1324249959203
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324249959409
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249960557
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249967299
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249968519
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249972256
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324249976851
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324249978205
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324249982800
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249984124
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324249993003
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324249999007
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250000165
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250004887
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324250014815
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250019628
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250036250
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324250040840
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250042010
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250045380
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324250054939
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250057850
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250064863
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324250067228
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324250071100
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324250083546
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250084572
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250089897
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324250094826
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250096040
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250126516
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324250129129
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250131842
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250136682
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250158431
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250867110
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250868767
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250874088
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324250875324
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1324250877500
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1324250904128
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1324250906854
opened,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1324250908114
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1324250910020
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1324250914756
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1324250915675
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250919489
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250926149
opened,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1324250931091
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1324250931148
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1324250932497
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1324250933278
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324250938552
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324251003040
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1324251004472
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1324251005478
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1324251009217
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1324251010639
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1324251012102
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1324251013022
