what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324020415235
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324021217724
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324021221329
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324021417490
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324021419106
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324021440453
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324021441627
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324021441661
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1324021445303
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324021451840
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324021454726
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324021482534
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324021484613
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324021484661
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324021488650
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324021494236
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324021495503
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324021528185
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324021533297
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324021534729
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324021552905
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324021556928
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324021558245
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324022144447
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1324022145665
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324022147437
closed,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1324022147437
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1324022148219
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324022149436
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324022149479
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324022154943
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1324022165162
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324022167235
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324022167268
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324022170493
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1324022174886
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1324022176180
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324022176601
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324022178614
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324022187227
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324022203376
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1324022220293
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1324022224220
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1324022226328
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324022227743
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324022229457
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324022874663
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324022876916
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324022877378
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324022880187
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324022880979
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324022882881
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324022884838
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324022954630
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1324022957545
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324022958426
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324022958461
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324022961248
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1324023055334
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1324023060895
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1324023098453
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324023098951
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324023100329
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1324023101533
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1324023105198
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1324023106745
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324023108223
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324023111800
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324023119258
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324023124205
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324023126341
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1324023129064
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1324023130093
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324023130497
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324023132228
activated,perspective,org.eclipse.wst.jsdt.ui,,"org.eclipse.wst.jsdt.ui.JavaPerspective",1324160890708
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1324160890709
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1324160890737
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1324160890764
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1324160890775
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1324160890787
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1324160890799
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1324160890812
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1324160890830
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1324160890837
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1324160890879
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1324160890904
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1324160890909
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1324160890923
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1324160890933
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1324160890982
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1324160891007
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1324160891041
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1324160891072
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1324160891111
started,bundle,org.eclipse.equinox.app,1.3.0.v20100512,"org.eclipse.equinox.app",1324160891127
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1324160891144
