what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324164893388
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324164894999
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324164999203
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165001887
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324165001930
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165007401
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324165021398
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165022921
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165029099
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324165031461
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324165032392
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324165044955
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165047474
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165051084
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.add.block.comment",1324165055866
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324165055960
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324165086782
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1324165087488
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324165087934
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165089836
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165158756
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.add.block.comment",1324165161815
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324165162294
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165163913
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165412916
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165414601
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324165414638
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165419773
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165421032
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324165421065
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165427839
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1324165437516
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1324165438859
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.add.block.comment",1324165440992
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324165441296
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1324165441892
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324165442104
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165443427
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165455193
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324165461847
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165463121
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165485271
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1324165498974
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324165499403
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165500717
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165536213
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165537859
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324165537886
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165541344
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324165544934
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.add.block.comment",1324165548973
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324165556892
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165558063
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165571115
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1324165587935
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165609952
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324165609994
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324165612317
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324165659263
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1324165661834
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1324165662000
