what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20101001-2300,"org.eclipse.php.debug.daemon",1324010471536
started,bundle,org.eclipse.php.server.core,2.2.0.v20101001-2300,"org.eclipse.php.server.core",1324010471542
os,sysinfo,,,"macosx",1324010471546
arch,sysinfo,,,"x86",1324010471546
ws,sysinfo,,,"cocoa",1324010471546
locale,sysinfo,,,"en_US",1324010471546
processors,sysinfo,,,"2",1324010471546
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1324010471546
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-10M3527",1324010471546
java.specification.name,sysinfo,,,"Java Platform API Specification",1324010471546
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1324010471546
java.specification.version,sysinfo,,,"1.6",1324010471546
java.vendor,sysinfo,,,"Apple Inc.",1324010471546
java.version,sysinfo,,,"1.6.0_29",1324010471546
java.vm.info,sysinfo,,,"mixed mode",1324010471546
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1324010471546
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1324010471546
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1324010471546
java.vm.specification.version,sysinfo,,,"1.0",1324010471546
java.vm.vendor,sysinfo,,,"Apple Inc.",1324010471546
java.vm.version,sysinfo,,,"20.4-b02-402",1324010471546
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324010480986
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324010629258
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.add.block.comment",1324010651745
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324010652392
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324010653627
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324011151612
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324011155431
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324011158769
