what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323757831207
activated,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1323757833414
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323757844965
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323757852314
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1323757855861
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.add.block.comment",1323757872070
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323757872209
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323757873565
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323757887832
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323757904362
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323757905661
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323757917860
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323757921714
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323757923054
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323757934950
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323757969745
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323757975964
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323757990182
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1323758038540
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323758038656
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1323758039544
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323758042655
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1323758042689
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323758046177
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323758049647
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323758093589
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.add.block.comment",1323758098206
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323758098385
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323758101009
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323758163639
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323758171417
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323758173102
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323758182613
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323758187552
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323758189140
