what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324168598681
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324168606963
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324168610443
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324168614656
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324168736843
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324168792811
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324168795131
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324168805946
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1324168808036
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324168827663
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324168829971
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324168879635
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324168881660
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324168903291
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324168904210
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324168904248
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324168908921
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1324168917006
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324168917668
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324168920850
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324168924674
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324168928993
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324168929683
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324168931245
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324168931760
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324168948845
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324168949743
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324168957505
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324168961787
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324168963379
