what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1324261892070
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324261916674
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324261921606
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324261922887
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324261924773
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324261925833
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324261926301
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1324261934954
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1324261938670
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324261939204
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324261940557
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324261951728
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324261957258
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324261957391
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324261957644
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324261960301
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324261965176
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324261967663
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324261973086
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324261977059
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324261980513
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324261989130
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324261991165
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262004820
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324262011140
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262012445
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262018408
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262022515
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262554026
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324262556992
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324262565240
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262566463
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262571986
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324262581714
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262583051
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262588377
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324262593791
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262595805
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262600661
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324262604483
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262605889
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262609542
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262610949
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262612432
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324262617073
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262618498
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262622244
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324262627826
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262629194
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262638955
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262646185
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262664925
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324262668596
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1324262674649
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324262675946
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1324262684560
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1324262687224
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1324262688741
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1324262689792
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324262690423
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262692214
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262695833
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262699984
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324262731686
