what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323841747152
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1323841766009
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1323841767296
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323841770660
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323841772274
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323841776443
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323841782365
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323841788816
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323841790312
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323841793637
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1323841797538
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1323841800648
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1323841802319
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1323841803124
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323841809381
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323841810757
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323841814182
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323841837778
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323842036958
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323842051185
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323842052866
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323842056955
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323842061321
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323842154457
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1323842155505
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323842157026
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1323842157065
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1323842160989
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1323842183704
