what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1324187676538
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324187677111
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324187690455
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324187691954
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324187702970
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324187704830
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324187713321
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324187714050
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324187714092
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324187719384
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324187722467
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324187725536
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324187736346
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1324187751518
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324187752200
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324187754165
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324187755152
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1324187755846
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324187757219
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324187881336
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324187888348
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324187890830
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324187895165
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324187909122
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324187910760
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324187946363
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324187958303
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324187960152
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324187968951
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324187976567
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324187977862
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188007256
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324188013959
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324188017451
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324188017825
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188021886
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324188021913
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188028561
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324188031453
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188032358
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188455235
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188457099
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324188457128
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188459058
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324188463151
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188464516
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188499266
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324188503072
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188503889
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324188503930
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188510097
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188527180
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188540377
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324188544174
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324188547918
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1324188555323
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324188556294
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324188563009
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324188565858
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188569756
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324188569793
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188570987
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324188573650
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188575431
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188584526
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324188594778
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188596296
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188600418
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324188612428
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324188619388
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324188622355
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188623550
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188627507
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188633417
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188652145
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324188654275
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188655192
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324188655219
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188657992
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188659550
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1324188659594
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188663691
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1324188685822
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188692103
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188694039
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1324188695013
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1324188696751
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1324188708325
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1324188709787
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324188709933
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188711231
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188717608
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324188720488
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324188721243
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324188723591
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188729024
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188733549
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324188735598
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324188736009
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324188736859
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324188737991
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324188738556
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1324188739105
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324188751104
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188752476
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188755497
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324188762198
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188763358
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188767565
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1324188775317
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1324188776206
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324188779672
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188780751
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188788062
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188800116
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1324188816671
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1324188823408
